source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,j_m,h_m,k_m,ph_qual
604629248070309248,133.45876229017983,11.097317874138085,1.2005180246542753,12.874134,0.75934696,-10.927040164274146,-2.3088371852537586,15.85,15.369,15.221,AAB
604630107063758720,133.50806056241677,11.162854162622185,4.189710392713163,13.33943,1.2116671,0.5159316270058244,-6.981052147599755,14.388,14.098,14.084,AAA
604630274567449344,133.33708023026858,11.048028423981611,1.7009260305808056,12.446574,0.77347183,2.4943051772509643,-6.640624875869139,15.887,15.431,15.504,ABC
604631069136455808,133.35099761207866,11.098807338572032,1.218127892795721,13.953985,0.9104748,-1.9424854129885714,1.2327036313437802,16.23,15.475,15.073,BBC
604631683316721024,133.24764551663907,11.115408543837793,0.8394808707317721,11.034341,1.276392,0.5421749665203475,-6.213462540392228,15.109,14.905,14.869,AAB
604631825050707456,133.2824743355283,11.128226263672232,3.1904490601937208,13.825941,1.1778927,-7.836012911990255,-3.2938356218654388,15.923,14.007,13.388,AUU
604633229504945536,133.49037636433,11.199339428242,1.7564421006515458,13.399747,0.7913914,-8.544937937852055,-4.4014137042036054,15.758,14.306,13.928,AAA
604633470023113600,133.451651466569,11.21251478845694,0.9881823659680821,13.667922,0.7979803,-2.4232478086770612,-5.026277823391383,16.447,14.643,14.023,CAA
604633538742592256,133.3755342718415,11.151591293566597,4.822719454158558,8.522579,0.6639309,-8.697132854050666,25.128419007569995,10.378,10.177,10.075,AAA
604633611757089280,133.35376416877173,11.168706368889525,1.2424176228874706,13.876568,0.90582275,-2.3748852134988523,-22.064306872882312,16.13,15.839,15.398,ABU
604633852275255680,133.36419551334322,11.184642243359276,1.8506101633339125,10.622677,1.0553741,-17.291795801750908,-6.507009794354738,16.232,15.786,15.414,BCC
604634367671325824,133.38812604773022,11.213692911569208,0.39254367668582335,10.686502,1.4105291,-4.823669361559857,-0.8855271210961059,16.453,15.83,15.362,BCC
604636321880758144,133.60461320980073,11.206571020291975,4.262796405867811,12.831267,1.0626335,0.8097083234623903,-6.756069947012958,16.666,15.716,15.296,CBC
604636321881362432,133.6053204714753,11.207668811836648,4.230070539014725,12.851939,1.071743,0.3112149261398339,-7.108986731610926,15.487,14.796,14.547,AAB
604636562399566848,133.57369129738086,11.208332101627532,2.0210364716274616,12.921674,0.81597614,-11.247250241093461,-7.4985918326598435,15.069,14.712,14.653,AAA
604638903156749312,133.68179949455936,11.310921171717164,0.976236618593454,10.829148,1.298379,-8.345356880465534,-15.862972378877249,16.245,15.857,15.345,BCU
604640174467097600,133.47819885841082,11.240923725183213,0.21061053928392315,13.730452,1.1312408,-0.6797260346106163,-1.0994412834733032,14.953,14.357,14.051,AAA
604640174467098496,133.47601440992116,11.241346092881328,2.8476067711026527,13.281791,0.972908,-12.086561533500573,-20.177444730645576,15.34,14.835,14.631,AAA
604640449345006592,133.4548195607927,11.26033439507619,1.043319071659738,13.031551,0.7364006,-2.674751431563391,-9.01461429678029,14.907,14.325,14.519,AAA
604640651208429568,133.46449043348184,11.29210945500767,1.5862191367687917,13.201711,0.78610706,-7.029114887861434,-5.21582110534785,15.159,14.467,14.221,AUU
604640930381330304,133.5220024202339,11.309340644574915,1.4654320640882665,13.992177,0.8142004,-5.053156353813947,-12.684789071425099,14.713,14.317,14.199,AAA
604641067820289152,133.48468979161566,11.30914932468206,1.2112621785135451,13.452075,0.80526257,-15.173320151382544,-5.4333751019448115,15.616,14.905,14.838,AAB
604642712792090112,133.53189558410125,11.351028818153281,2.1178646549600675,12.839014,0.77711964,-17.333286784968987,12.505723817022169,15.024,14.742,14.606,AAA
604662229123483904,133.7220542728314,11.332406911643682,4.654428393971963,12.917006,1.2133675,-32.575347996898785,-27.81907356715041,16.692,15.624,15.059,BUU
604662469641651968,133.6965134884822,11.344945311481496,1.6042544392314502,13.059646,0.885437,-1.3535504324119905,6.097475389982424,13.745,13.359,13.299,AAA
604668830488853376,133.72611898534228,11.48069547255826,0.9498781571258501,13.447787,0.65224266,-8.58712148559065,6.811903906794967,16.506,15.921,15.91,BUU
604669208447558144,133.71021356034345,11.508536398674794,4.411388711156342,12.710918,1.1209049,6.7173225346313234,-12.58581026966229,12.537,11.919,11.763,AAA
604669341589319296,133.75981507780673,11.50259068497124,0.9974450193413262,13.392462,0.61402416,-3.386185865341057,5.044748078389416,16.751,16.11,15.941,CUU
604669582107485952,133.75953057059962,11.532253271023755,1.7266520434429053,9.171469,1.3023739,0.005491166929961544,-14.042536334441152,16.725,15.931,15.76,BCD
604678657374107008,133.24962457495556,11.123708292205281,0.37953626620315245,10.635501,1.8546171,0.018229851440932254,-4.800546783256548,13.173,12.73,12.601,AAA
604678691733846784,133.23513448673302,11.135319723128369,2.8185962987556286,12.01544,0.8421755,-5.9572474341492985,-14.345805683908116,14.777,14.373,14.385,AAA
604679482007819136,133.27655281045537,11.185457917206426,0.8804035069436297,13.960124,0.78061676,-5.430785668066637,0.5250655876394794,16.064,15.701,15.697,ABD
604679928684426752,133.2099881722982,11.185213186632671,1.3902183065340128,12.657259,1.1257458,-1.3969041593226885,2.163577571924079,16.311,15.694,15.167,BBU
604680856397344128,133.34228084075914,11.206400330944396,0.18606736926070847,13.656553,1.1192799,0.06824251819289329,-0.6984442261933479,15.284,14.552,14.349,AAA
604682265146623232,133.25883388437325,11.260503186841493,2.32926226620624,13.195863,0.8516121,25.016226380808803,-6.947869024075867,15.925,15.724,15.97,ABU
604682501369762048,133.34051923140788,11.28739417204468,1.1498992967697386,13.767611,0.7681093,-11.086915216998143,-2.819519237402187,16.516,16.121,15.836,BCU
604683429082700032,133.14704267332317,11.237020512523408,1.4316416779977994,12.387108,0.6972828,-5.439457946392817,8.921006626118881,14.815,13.359,12.73,AAA
604683776975118976,133.20422893161194,11.265420690948181,0.7268836501900886,12.234204,0.4473877,-5.845563539483526,-2.9575494016969057,16.314,15.458,15.169,ABU
604684326730942592,133.12692088532611,11.258976562554766,1.1630593472821595,7.9480596,2.1596684,-11.178438706245466,-2.7221340729824037,15.66,15.279,15.119,AAC
604684532889373952,133.10942452354703,11.276102502624532,1.1489719174965263,13.135402,0.7453089,-10.883061410344045,-2.6649373695306355,10.773,10.163,9.985,AAA
